0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 136, 74, 30, 156, 72, 109, 42, 57
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75, 88, 22, 70, 106, 118, 42, 62
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67, 103, 30, 83, 109, 78, 48, 43
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 48, 44, 35, 70, 42, 52, 25, 18
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32, 44, 47, 43, 48, 23, 19, 16
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27, 17, 3, 17, 15, 18, 56, 32
136, 75, 67, 48, 32, 27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
74, 88, 103, 44, 44, 17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
30, 22, 30, 35, 47, 3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
156, 70, 83, 70, 43, 17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
72, 106, 109, 42, 48, 15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
109, 118, 78, 52, 23, 18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
42, 42, 48, 25, 19, 56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
57, 62, 43, 18, 16, 32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
